run_id,num_train_samples,y,baseline_beta,baseline_nll_beta
69a18ce4,20,-6.2962966,4.0177903e-07,5.922018e-07
69a18ce4,20,-6.2762766,4.2832752e-07,4.9859926e-07
69a18ce4,20,-6.2562566,3.948023e-07,7.0440484e-07
69a18ce4,20,-6.2362366,4.4856327e-07,7.934729e-07
69a18ce4,20,-6.2162166,4.9608826e-07,9.23575e-07
69a18ce4,20,-6.1961966,4.829641e-07,5.924594e-07
69a18ce4,20,-6.1761765,4.7622342e-07,1.0137375e-06
69a18ce4,20,-6.1561565,5.0867766e-07,8.70076e-07
69a18ce4,20,-6.136136,4.800766e-07,1.0795751e-06
69a18ce4,20,-6.116116,5.494455e-07,7.500238e-07
69a18ce4,20,-6.096096,5.599661e-07,1.0382053e-06
69a18ce4,20,-6.076076,5.697735e-07,7.372643e-07
69a18ce4,20,-6.056056,5.4004676e-07,1.4534475e-06
69a18ce4,20,-6.036036,6.157596e-07,1.0531396e-06
69a18ce4,20,-6.016016,5.752234e-07,1.0920695e-06
69a18ce4,20,-5.995996,6.2934066e-07,8.7294353e-07
69a18ce4,20,-5.975976,6.9431513e-07,1.5756124e-06
69a18ce4,20,-5.955956,6.191112e-07,1.5202163e-06
69a18ce4,20,-5.935936,6.9945514e-07,1.5115482e-06
69a18ce4,20,-5.915916,6.852073e-07,1.5990669e-06
69a18ce4,20,-5.895896,7.065173e-07,1.9502547e-06
69a18ce4,20,-5.875876,7.351244e-07,1.4872171e-06
69a18ce4,20,-5.855856,7.3492953e-07,1.5443684e-06
69a18ce4,20,-5.835836,7.4207514e-07,1.7631723e-06
69a18ce4,20,-5.815816,7.294968e-07,2.3999937e-06
69a18ce4,20,-5.795796,8.410433e-07,2.0262428e-06
69a18ce4,20,-5.775776,8.1255615e-07,1.9825166e-06
69a18ce4,20,-5.755756,7.9900553e-07,1.9455917e-06
69a18ce4,20,-5.735736,8.521998e-07,2.6669284e-06
69a18ce4,20,-5.715716,8.7922643e-07,2.264649e-06
69a18ce4,20,-5.695696,9.282568e-07,2.5105276e-06
69a18ce4,20,-5.675676,9.918422e-07,2.2144004e-06
